Log Producao Fabrica: Veiculo[id=1, cor=Vermelho, tipo=SUV, estacao=1, funcionario=2, pos=0]
Log Venda Fabrica: Veiculo[id=34, cor=Vermelho, tipo=Sedan, estacao=4, funcionario=5, pos=33] -> Loja 2 (pos=16)
Log Venda Fabrica: Veiculo[id=37, cor=Vermelho, tipo=SUV, estacao=1, funcionario=3, pos=36] -> Loja 2 (pos=17)
Log Venda Fabrica: Veiculo[id=33, cor=Azul, tipo=SUV, estacao=4, funcionario=2, pos=32] -> Loja 1 (pos=7)
Log Venda Fabrica: Veiculo[id=39, cor=Azul, tipo=SUV, estacao=3, funcionario=3, pos=38] -> Loja 1 (pos=8)
Log Venda Fabrica: Veiculo[id=40, cor=Vermelho, tipo=Sedan, estacao=2, funcionario=3, pos=39] -> Loja 1 (pos=9)
Log Venda Fabrica: Veiculo[id=38, cor=Verde, tipo=Sedan, estacao=1, funcionario=5, pos=37] -> Loja 2 (pos=18)
Log Producao Fabrica: Veiculo[id=35, cor=Verde, tipo=SUV, estacao=3, funcionario=5, pos=34]
Log Producao Fabrica: Veiculo[id=40, cor=Vermelho, tipo=Sedan, estacao=2, funcionario=3, pos=39]
Log Producao Fabrica: Veiculo[id=39, cor=Azul, tipo=SUV, estacao=3, funcionario=3, pos=38]
Log Venda Fabrica: Veiculo[id=36, cor=Azul, tipo=Sedan, estacao=4, funcionario=3, pos=35] -> Loja 3 (pos=10)
Log Producao Fabrica: Veiculo[id=38, cor=Verde, tipo=Sedan, estacao=1, funcionario=5, pos=37]
Log Producao Fabrica: Veiculo[id=37, cor=Vermelho, tipo=SUV, estacao=1, funcionario=3, pos=36]
Log Producao Fabrica: Veiculo[id=41, cor=Verde, tipo=SUV, estacao=1, funcionario=1, pos=0]
Log Venda Fabrica: Veiculo[id=41, cor=Verde, tipo=SUV, estacao=1, funcionario=1, pos=0] -> Loja 1 (pos=10)
Log Producao Fabrica: Veiculo[id=42, cor=Azul, tipo=Sedan, estacao=1, funcionario=2, pos=1]
Log Venda Fabrica: Veiculo[id=42, cor=Azul, tipo=Sedan, estacao=1, funcionario=2, pos=1] -> Loja 2 (pos=19)
Log Producao Fabrica: Veiculo[id=43, cor=Vermelho, tipo=SUV, estacao=4, funcionario=4, pos=2]
Log Venda Fabrica: Veiculo[id=43, cor=Vermelho, tipo=SUV, estacao=4, funcionario=4, pos=2] -> Loja 3 (pos=11)
Log Venda Fabrica: Veiculo[id=44, cor=Verde, tipo=Sedan, estacao=4, funcionario=1, pos=3] -> Loja 1 (pos=11)
Log Producao Fabrica: Veiculo[id=44, cor=Verde, tipo=Sedan, estacao=4, funcionario=1, pos=3]
Log Producao Fabrica: Veiculo[id=45, cor=Azul, tipo=SUV, estacao=2, funcionario=1, pos=4]
Log Venda Fabrica: Veiculo[id=46, cor=Vermelho, tipo=Sedan, estacao=2, funcionario=4, pos=5] -> Loja 3 (pos=12)
Log Venda Fabrica: Veiculo[id=47, cor=Verde, tipo=SUV, estacao=3, funcionario=1, pos=6] -> Loja 3 (pos=13)
Log Producao Fabrica: Veiculo[id=46, cor=Vermelho, tipo=Sedan, estacao=2, funcionario=4, pos=5]
Log Venda Fabrica: Veiculo[id=45, cor=Azul, tipo=SUV, estacao=2, funcionario=1, pos=4] -> Loja 2 (pos=20)
Log Producao Fabrica: Veiculo[id=47, cor=Verde, tipo=SUV, estacao=3, funcionario=1, pos=6]
Log Producao Fabrica: Veiculo[id=48, cor=Azul, tipo=Sedan, estacao=3, funcionario=4, pos=7]
Log Producao Fabrica: Veiculo[id=49, cor=Vermelho, tipo=SUV, estacao=4, funcionario=5, pos=8]
Log Producao Fabrica: Veiculo[id=50, cor=Verde, tipo=Sedan, estacao=4, funcionario=2, pos=9]
Log Venda Fabrica: Veiculo[id=49, cor=Vermelho, tipo=SUV, estacao=4, funcionario=5, pos=8] -> Loja 1 (pos=12)
Log Producao Fabrica: Veiculo[id=52, cor=Vermelho, tipo=Sedan, estacao=2, funcionario=5, pos=11]
Log Venda Fabrica: Veiculo[id=48, cor=Azul, tipo=Sedan, estacao=3, funcionario=4, pos=7] -> Loja 3 (pos=14)
Log Venda Fabrica: Veiculo[id=51, cor=Azul, tipo=SUV, estacao=3, funcionario=2, pos=10] -> Loja 1 (pos=13)
Log Venda Fabrica: Veiculo[id=53, cor=Verde, tipo=SUV, estacao=4, funcionario=3, pos=12] -> Loja 1 (pos=14)
Log Venda Fabrica: Veiculo[id=54, cor=Azul, tipo=Sedan, estacao=2, funcionario=2, pos=13] -> Loja 1 (pos=15)
Log Producao Fabrica: Veiculo[id=51, cor=Azul, tipo=SUV, estacao=3, funcionario=2, pos=10]
Log Venda Fabrica: Veiculo[id=50, cor=Verde, tipo=Sedan, estacao=4, funcionario=2, pos=9] -> Loja 2 (pos=21)
Log Venda Fabrica: Veiculo[id=55, cor=Vermelho, tipo=SUV, estacao=1, funcionario=4, pos=14] -> Loja 1 (pos=16)
Log Producao Fabrica: Veiculo[id=55, cor=Vermelho, tipo=SUV, estacao=1, funcionario=4, pos=14]
Log Producao Fabrica: Veiculo[id=54, cor=Azul, tipo=Sedan, estacao=2, funcionario=2, pos=13]
Log Producao Fabrica: Veiculo[id=53, cor=Verde, tipo=SUV, estacao=4, funcionario=3, pos=12]
Log Venda Fabrica: Veiculo[id=52, cor=Vermelho, tipo=Sedan, estacao=2, funcionario=5, pos=11] -> Loja 3 (pos=15)
Log Producao Fabrica: Veiculo[id=56, cor=Verde, tipo=Sedan, estacao=3, funcionario=5, pos=15]
Log Venda Fabrica: Veiculo[id=56, cor=Verde, tipo=Sedan, estacao=3, funcionario=5, pos=15] -> Loja 2 (pos=22)
Log Producao Fabrica: Veiculo[id=57, cor=Azul, tipo=SUV, estacao=2, funcionario=3, pos=16]
Log Venda Fabrica: Veiculo[id=57, cor=Azul, tipo=SUV, estacao=2, funcionario=3, pos=16] -> Loja 1 (pos=17)
Log Producao Fabrica: Veiculo[id=60, cor=Azul, tipo=Sedan, estacao=1, funcionario=3, pos=19]
Log Venda Fabrica: Veiculo[id=60, cor=Azul, tipo=Sedan, estacao=1, funcionario=3, pos=19] -> Loja 1 (pos=18)
Log Venda Fabrica: Veiculo[id=59, cor=Verde, tipo=SUV, estacao=1, funcionario=5, pos=18] -> Loja 2 (pos=23)
Log Producao Fabrica: Veiculo[id=59, cor=Verde, tipo=SUV, estacao=1, funcionario=5, pos=18]
Log Venda Fabrica: Veiculo[id=58, cor=Vermelho, tipo=Sedan, estacao=3, funcionario=3, pos=17] -> Loja 3 (pos=16)
Log Producao Fabrica: Veiculo[id=58, cor=Vermelho, tipo=Sedan, estacao=3, funcionario=3, pos=17]
Log Producao Fabrica: Veiculo[id=61, cor=Vermelho, tipo=SUV, estacao=1, funcionario=1, pos=20]
Log Venda Fabrica: Veiculo[id=61, cor=Vermelho, tipo=SUV, estacao=1, funcionario=1, pos=20] -> Loja 1 (pos=19)
Log Venda Fabrica: Veiculo[id=62, cor=Verde, tipo=Sedan, estacao=1, funcionario=2, pos=21] -> Loja 2 (pos=24)
Log Producao Fabrica: Veiculo[id=62, cor=Verde, tipo=Sedan, estacao=1, funcionario=2, pos=21]
Log Producao Fabrica: Veiculo[id=63, cor=Azul, tipo=SUV, estacao=4, funcionario=4, pos=22]
Log Venda Fabrica: Veiculo[id=63, cor=Azul, tipo=SUV, estacao=4, funcionario=4, pos=22] -> Loja 3 (pos=17)
Log Producao Fabrica: Veiculo[id=64, cor=Vermelho, tipo=Sedan, estacao=4, funcionario=1, pos=23]
Log Venda Fabrica: Veiculo[id=64, cor=Vermelho, tipo=Sedan, estacao=4, funcionario=1, pos=23] -> Loja 1 (pos=20)
Log Producao Fabrica: Veiculo[id=65, cor=Verde, tipo=SUV, estacao=2, funcionario=1, pos=24]
Log Venda Fabrica: Veiculo[id=65, cor=Verde, tipo=SUV, estacao=2, funcionario=1, pos=24] -> Loja 2 (pos=25)
Log Producao Fabrica: Veiculo[id=66, cor=Azul, tipo=Sedan, estacao=2, funcionario=4, pos=25]
Log Venda Fabrica: Veiculo[id=66, cor=Azul, tipo=Sedan, estacao=2, funcionario=4, pos=25] -> Loja 3 (pos=18)
Log Venda Fabrica: Veiculo[id=67, cor=Vermelho, tipo=SUV, estacao=3, funcionario=1, pos=26] -> Loja 1 (pos=21)
Log Producao Fabrica: Veiculo[id=67, cor=Vermelho, tipo=SUV, estacao=3, funcionario=1, pos=26]
Log Producao Fabrica: Veiculo[id=69, cor=Azul, tipo=SUV, estacao=4, funcionario=5, pos=28]
Log Venda Fabrica: Veiculo[id=69, cor=Azul, tipo=SUV, estacao=4, funcionario=5, pos=28] -> Loja 3 (pos=19)
Log Venda Fabrica: Veiculo[id=70, cor=Vermelho, tipo=Sedan, estacao=4, funcionario=2, pos=29] -> Loja 3 (pos=20)
Log Venda Fabrica: Veiculo[id=68, cor=Verde, tipo=Sedan, estacao=3, funcionario=4, pos=27] -> Loja 2 (pos=26)
Log Producao Fabrica: Veiculo[id=68, cor=Verde, tipo=Sedan, estacao=3, funcionario=4, pos=27]
Log Venda Fabrica: Veiculo[id=71, cor=Verde, tipo=SUV, estacao=2, funcionario=5, pos=30] -> Loja 3 (pos=21)
Log Producao Fabrica: Veiculo[id=71, cor=Verde, tipo=SUV, estacao=2, funcionario=5, pos=30]
Log Producao Fabrica: Veiculo[id=70, cor=Vermelho, tipo=Sedan, estacao=4, funcionario=2, pos=29]
Log Producao Fabrica: Veiculo[id=72, cor=Azul, tipo=Sedan, estacao=3, funcionario=2, pos=31]
Log Venda Fabrica: Veiculo[id=72, cor=Azul, tipo=Sedan, estacao=3, funcionario=2, pos=31] -> Loja 1 (pos=22)
Log Producao Fabrica: Veiculo[id=73, cor=Vermelho, tipo=SUV, estacao=1, funcionario=4, pos=32]
Log Venda Fabrica: Veiculo[id=75, cor=Azul, tipo=SUV, estacao=4, funcionario=3, pos=34] -> Loja 1 (pos=23)
Log Venda Fabrica: Veiculo[id=74, cor=Verde, tipo=Sedan, estacao=2, funcionario=2, pos=33] -> Loja 3 (pos=22)
Log Producao Fabrica: Veiculo[id=74, cor=Verde, tipo=Sedan, estacao=2, funcionario=2, pos=33]
Log Venda Fabrica: Veiculo[id=73, cor=Vermelho, tipo=SUV, estacao=1, funcionario=4, pos=32] -> Loja 2 (pos=27)
Log Venda Fabrica: Veiculo[id=76, cor=Vermelho, tipo=Sedan, estacao=3, funcionario=5, pos=35] -> Loja 1 (pos=24)
Log Producao Fabrica: Veiculo[id=76, cor=Vermelho, tipo=Sedan, estacao=3, funcionario=5, pos=35]
Log Producao Fabrica: Veiculo[id=77, cor=Verde, tipo=SUV, estacao=2, funcionario=3, pos=36]
Log Producao Fabrica: Veiculo[id=75, cor=Azul, tipo=SUV, estacao=4, funcionario=3, pos=34]
Log Venda Fabrica: Veiculo[id=77, cor=Verde, tipo=SUV, estacao=2, funcionario=3, pos=36] -> Loja 3 (pos=23)
Log Producao Fabrica: Veiculo[id=78, cor=Azul, tipo=Sedan, estacao=1, funcionario=3, pos=37]
Log Venda Fabrica: Veiculo[id=78, cor=Azul, tipo=Sedan, estacao=1, funcionario=3, pos=37] -> Loja 2 (pos=28)
Log Producao Fabrica: Veiculo[id=79, cor=Vermelho, tipo=SUV, estacao=1, funcionario=5, pos=38]
Log Producao Fabrica: Veiculo[id=80, cor=Verde, tipo=Sedan, estacao=3, funcionario=3, pos=39]
Log Venda Fabrica: Veiculo[id=79, cor=Vermelho, tipo=SUV, estacao=1, funcionario=5, pos=38] -> Loja 1 (pos=25)
Log Venda Fabrica: Veiculo[id=80, cor=Verde, tipo=Sedan, estacao=3, funcionario=3, pos=39] -> Loja 3 (pos=24)
Log Producao Fabrica: Veiculo[id=81, cor=Azul, tipo=SUV, estacao=1, funcionario=1, pos=0]
Log Venda Fabrica: Veiculo[id=81, cor=Azul, tipo=SUV, estacao=1, funcionario=1, pos=0] -> Loja 2 (pos=29)
Log Producao Fabrica: Veiculo[id=82, cor=Vermelho, tipo=Sedan, estacao=1, funcionario=2, pos=1]
Log Venda Fabrica: Veiculo[id=82, cor=Vermelho, tipo=Sedan, estacao=1, funcionario=2, pos=1] -> Loja 1 (pos=26)
Log Producao Fabrica: Veiculo[id=83, cor=Verde, tipo=SUV, estacao=4, funcionario=4, pos=2]
Log Venda Fabrica: Veiculo[id=83, cor=Verde, tipo=SUV, estacao=4, funcionario=4, pos=2] -> Loja 3 (pos=25)
Log Producao Fabrica: Veiculo[id=84, cor=Azul, tipo=Sedan, estacao=4, funcionario=1, pos=3]
Log Venda Fabrica: Veiculo[id=84, cor=Azul, tipo=Sedan, estacao=4, funcionario=1, pos=3] -> Loja 2 (pos=30)
Log Producao Fabrica: Veiculo[id=85, cor=Vermelho, tipo=SUV, estacao=2, funcionario=1, pos=4]
Log Venda Fabrica: Veiculo[id=85, cor=Vermelho, tipo=SUV, estacao=2, funcionario=1, pos=4] -> Loja 1 (pos=27)
Log Producao Fabrica: Veiculo[id=86, cor=Verde, tipo=Sedan, estacao=2, funcionario=4, pos=5]
Log Venda Fabrica: Veiculo[id=86, cor=Verde, tipo=Sedan, estacao=2, funcionario=4, pos=5] -> Loja 3 (pos=26)
Log Producao Fabrica: Veiculo[id=87, cor=Azul, tipo=SUV, estacao=3, funcionario=1, pos=6]
Log Venda Fabrica: Veiculo[id=88, cor=Vermelho, tipo=Sedan, estacao=4, funcionario=5, pos=7] -> Loja 1 (pos=28)
Log Producao Fabrica: Veiculo[id=88, cor=Vermelho, tipo=Sedan, estacao=4, funcionario=5, pos=7]
Log Venda Fabrica: Veiculo[id=87, cor=Azul, tipo=SUV, estacao=3, funcionario=1, pos=6] -> Loja 2 (pos=31)
Log Producao Fabrica: Veiculo[id=89, cor=Verde, tipo=SUV, estacao=4, funcionario=2, pos=8]
Log Producao Fabrica: Veiculo[id=90, cor=Azul, tipo=Sedan, estacao=2, funcionario=5, pos=9]
Log Venda Fabrica: Veiculo[id=90, cor=Azul, tipo=Sedan, estacao=2, funcionario=5, pos=9] -> Loja 1 (pos=29)
Log Venda Fabrica: Veiculo[id=91, cor=Vermelho, tipo=SUV, estacao=3, funcionario=4, pos=10] -> Loja 1 (pos=30)
Log Venda Fabrica: Veiculo[id=92, cor=Verde, tipo=Sedan, estacao=3, funcionario=2, pos=11] -> Loja 1 (pos=31)
Log Producao Fabrica: Veiculo[id=91, cor=Vermelho, tipo=SUV, estacao=3, funcionario=4, pos=10]
Log Venda Fabrica: Veiculo[id=89, cor=Verde, tipo=SUV, estacao=4, funcionario=2, pos=8] -> Loja 3 (pos=27)
Log Producao Fabrica: Veiculo[id=92, cor=Verde, tipo=Sedan, estacao=3, funcionario=2, pos=11]
Log Producao Fabrica: Veiculo[id=93, cor=Azul, tipo=SUV, estacao=1, funcionario=4, pos=12]
Log Venda Fabrica: Veiculo[id=93, cor=Azul, tipo=SUV, estacao=1, funcionario=4, pos=12] -> Loja 1 (pos=32)
Log Producao Fabrica: Veiculo[id=94, cor=Vermelho, tipo=Sedan, estacao=2, funcionario=2, pos=13]
Log Producao Fabrica: Veiculo[id=95, cor=Verde, tipo=SUV, estacao=3, funcionario=5, pos=14]
Log Producao Fabrica: Veiculo[id=96, cor=Azul, tipo=Sedan, estacao=2, funcionario=3, pos=15]
Log Producao Fabrica: Veiculo[id=97, cor=Vermelho, tipo=SUV, estacao=4, funcionario=3, pos=16]
Log Venda Fabrica: Veiculo[id=94, cor=Vermelho, tipo=Sedan, estacao=2, funcionario=2, pos=13] -> Loja 2 (pos=32)
Log Venda Fabrica: Veiculo[id=97, cor=Vermelho, tipo=SUV, estacao=4, funcionario=3, pos=16] -> Loja 2 (pos=33)
Log Venda Fabrica: Veiculo[id=96, cor=Azul, tipo=Sedan, estacao=2, funcionario=3, pos=15] -> Loja 1 (pos=33)
Log Venda Fabrica: Veiculo[id=95, cor=Verde, tipo=SUV, estacao=3, funcionario=5, pos=14] -> Loja 3 (pos=28)
Log Producao Fabrica: Veiculo[id=100, cor=Vermelho, tipo=Sedan, estacao=3, funcionario=3, pos=19]
Log Venda Fabrica: Veiculo[id=100, cor=Vermelho, tipo=Sedan, estacao=3, funcionario=3, pos=19] -> Loja 3 (pos=29)
Log Venda Fabrica: Veiculo[id=98, cor=Verde, tipo=Sedan, estacao=1, funcionario=3, pos=17] -> Loja 2 (pos=34)
Log Producao Fabrica: Veiculo[id=98, cor=Verde, tipo=Sedan, estacao=1, funcionario=3, pos=17]
Log Venda Fabrica: Veiculo[id=99, cor=Azul, tipo=SUV, estacao=1, funcionario=5, pos=18] -> Loja 1 (pos=34)
Log Producao Fabrica: Veiculo[id=99, cor=Azul, tipo=SUV, estacao=1, funcionario=5, pos=18]
Log Producao Fabrica: Veiculo[id=101, cor=Verde, tipo=SUV, estacao=1, funcionario=1, pos=20]
Log Venda Fabrica: Veiculo[id=101, cor=Verde, tipo=SUV, estacao=1, funcionario=1, pos=20] -> Loja 3 (pos=30)
Log Producao Fabrica: Veiculo[id=102, cor=Azul, tipo=Sedan, estacao=1, funcionario=2, pos=21]
Log Venda Fabrica: Veiculo[id=102, cor=Azul, tipo=Sedan, estacao=1, funcionario=2, pos=21] -> Loja 2 (pos=35)
Log Producao Fabrica: Veiculo[id=103, cor=Vermelho, tipo=SUV, estacao=4, funcionario=4, pos=22]
Log Venda Fabrica: Veiculo[id=103, cor=Vermelho, tipo=SUV, estacao=4, funcionario=4, pos=22] -> Loja 1 (pos=35)
Log Producao Fabrica: Veiculo[id=104, cor=Verde, tipo=Sedan, estacao=4, funcionario=1, pos=23]
Log Venda Fabrica: Veiculo[id=104, cor=Verde, tipo=Sedan, estacao=4, funcionario=1, pos=23] -> Loja 3 (pos=31)
Log Producao Fabrica: Veiculo[id=105, cor=Azul, tipo=SUV, estacao=2, funcionario=1, pos=24]
Log Venda Fabrica: Veiculo[id=105, cor=Azul, tipo=SUV, estacao=2, funcionario=1, pos=24] -> Loja 2 (pos=36)
Log Producao Fabrica: Veiculo[id=106, cor=Vermelho, tipo=Sedan, estacao=2, funcionario=4, pos=25]
Log Venda Fabrica: Veiculo[id=106, cor=Vermelho, tipo=Sedan, estacao=2, funcionario=4, pos=25] -> Loja 1 (pos=36)
Log Producao Fabrica: Veiculo[id=107, cor=Verde, tipo=SUV, estacao=3, funcionario=1, pos=26]
Log Venda Fabrica: Veiculo[id=107, cor=Verde, tipo=SUV, estacao=3, funcionario=1, pos=26] -> Loja 3 (pos=32)
Log Venda Fabrica: Veiculo[id=108, cor=Azul, tipo=Sedan, estacao=4, funcionario=5, pos=27] -> Loja 2 (pos=37)
Log Producao Fabrica: Veiculo[id=108, cor=Azul, tipo=Sedan, estacao=4, funcionario=5, pos=27]
Log Producao Fabrica: Veiculo[id=109, cor=Vermelho, tipo=SUV, estacao=4, funcionario=2, pos=28]
Log Venda Fabrica: Veiculo[id=109, cor=Vermelho, tipo=SUV, estacao=4, funcionario=2, pos=28] -> Loja 1 (pos=37)
Log Producao Fabrica: Veiculo[id=110, cor=Verde, tipo=Sedan, estacao=2, funcionario=5, pos=29]
Log Venda Fabrica: Veiculo[id=111, cor=Azul, tipo=SUV, estacao=3, funcionario=4, pos=30] -> Loja 2 (pos=38)
