Log Garagem Cliente 3: Veiculo[id=2, cor=Verde, tipo=Sedan, estacao=1, funcionario=4, pos=1] (pos=0)
Log Garagem Cliente 17: Veiculo[id=66, cor=Azul, tipo=Sedan, estacao=2, funcionario=4, pos=25] (pos=1)
Log Garagem Cliente 5: Veiculo[id=67, cor=Vermelho, tipo=SUV, estacao=3, funcionario=1, pos=26] (pos=2)
Log Garagem Cliente 15: Veiculo[id=70, cor=Vermelho, tipo=Sedan, estacao=4, funcionario=2, pos=29] (pos=3)
Log Garagem Cliente 20: Veiculo[id=69, cor=Azul, tipo=SUV, estacao=4, funcionario=5, pos=28] (pos=2)
Log Garagem Cliente 6: Veiculo[id=20, cor=Verde, tipo=Sedan, estacao=4, funcionario=3, pos=19] (pos=2)
Log Garagem Cliente 11: Veiculo[id=71, cor=Verde, tipo=SUV, estacao=2, funcionario=5, pos=30] (pos=2)
Log Garagem Cliente 4: Veiculo[id=72, cor=Azul, tipo=Sedan, estacao=3, funcionario=2, pos=31] (pos=2)
Log Garagem Cliente 3: Veiculo[id=74, cor=Verde, tipo=Sedan, estacao=2, funcionario=2, pos=33] (pos=3)
Log Garagem Cliente 10: Veiculo[id=75, cor=Azul, tipo=SUV, estacao=4, funcionario=3, pos=34] (pos=3)
Log Garagem Cliente 19: Veiculo[id=21, cor=Azul, tipo=SUV, estacao=1, funcionario=1, pos=20] (pos=2)
Log Garagem Cliente 14: Veiculo[id=24, cor=Azul, tipo=Sedan, estacao=4, funcionario=1, pos=23] (pos=3)
Log Garagem Cliente 12: Veiculo[id=77, cor=Verde, tipo=SUV, estacao=2, funcionario=3, pos=36] (pos=2)
Log Garagem Cliente 18: Veiculo[id=26, cor=Verde, tipo=Sedan, estacao=3, funcionario=1, pos=25] (pos=3)
Log Garagem Cliente 9: Veiculo[id=80, cor=Verde, tipo=Sedan, estacao=3, funcionario=3, pos=39] (pos=3)
Log Garagem Cliente 2: Veiculo[id=31, cor=Vermelho, tipo=SUV, estacao=2, funcionario=5, pos=30] (pos=3)
Log Garagem Cliente 16: Veiculo[id=34, cor=Vermelho, tipo=Sedan, estacao=4, funcionario=5, pos=33] (pos=3)
Log Garagem Cliente 1: Veiculo[id=37, cor=Vermelho, tipo=SUV, estacao=1, funcionario=3, pos=36] (pos=3)
Log Garagem Cliente 8: Veiculo[id=76, cor=Vermelho, tipo=Sedan, estacao=3, funcionario=5, pos=35] (pos=3)
Log Garagem Cliente 13: Veiculo[id=83, cor=Verde, tipo=SUV, estacao=4, funcionario=4, pos=2] (pos=2)
Log Garagem Cliente 17: Veiculo[id=86, cor=Verde, tipo=Sedan, estacao=2, funcionario=4, pos=5] (pos=2)
Log Garagem Cliente 5: Veiculo[id=79, cor=Vermelho, tipo=SUV, estacao=1, funcionario=5, pos=38] (pos=3)
Log Garagem Cliente 15: Veiculo[id=82, cor=Vermelho, tipo=Sedan, estacao=1, funcionario=2, pos=1] (pos=4)
Log Garagem Cliente 7: Veiculo[id=89, cor=Verde, tipo=SUV, estacao=4, funcionario=2, pos=8] (pos=3)
Log Garagem Cliente 11: Veiculo[id=38, cor=Verde, tipo=Sedan, estacao=1, funcionario=5, pos=37] (pos=3)
Log Garagem Cliente 10: Veiculo[id=85, cor=Vermelho, tipo=SUV, estacao=2, funcionario=1, pos=4] (pos=4)
Log Garagem Cliente 19: Veiculo[id=42, cor=Azul, tipo=Sedan, estacao=1, funcionario=2, pos=1] (pos=3)
Log Garagem Cliente 20: Veiculo[id=95, cor=Verde, tipo=SUV, estacao=3, funcionario=5, pos=14] (pos=3)
Log Garagem Cliente 18: Veiculo[id=45, cor=Azul, tipo=SUV, estacao=2, funcionario=1, pos=4] (pos=4)
Log Garagem Cliente 6: Veiculo[id=100, cor=Vermelho, tipo=Sedan, estacao=3, funcionario=3, pos=19] (pos=3)
Log Garagem Cliente 2: Veiculo[id=88, cor=Vermelho, tipo=Sedan, estacao=4, funcionario=5, pos=7] (pos=4)
Log Garagem Cliente 4: Veiculo[id=101, cor=Verde, tipo=SUV, estacao=1, funcionario=1, pos=20] (pos=3)
Log Garagem Cliente 16: Veiculo[id=50, cor=Verde, tipo=Sedan, estacao=4, funcionario=2, pos=9] (pos=4)
Log Garagem Cliente 13: Veiculo[id=56, cor=Verde, tipo=Sedan, estacao=3, funcionario=5, pos=15] (pos=3)
Log Garagem Cliente 3: Veiculo[id=104, cor=Verde, tipo=Sedan, estacao=4, funcionario=1, pos=23] (pos=4)
Log Garagem Cliente 17: Veiculo[id=59, cor=Verde, tipo=SUV, estacao=1, funcionario=5, pos=18] (pos=3)
Log Garagem Cliente 5: Veiculo[id=90, cor=Azul, tipo=Sedan, estacao=2, funcionario=5, pos=9] (pos=4)
Log Garagem Cliente 14: Veiculo[id=107, cor=Verde, tipo=SUV, estacao=3, funcionario=1, pos=26] (pos=4)
Log Garagem Cliente 12: Veiculo[id=110, cor=Verde, tipo=Sedan, estacao=2, funcionario=5, pos=29] (pos=3)
Log Garagem Cliente 11: Veiculo[id=91, cor=Vermelho, tipo=SUV, estacao=3, funcionario=4, pos=10] (pos=4)
Log Garagem Cliente 19: Veiculo[id=92, cor=Verde, tipo=Sedan, estacao=3, funcionario=2, pos=11] (pos=4)
Log Garagem Cliente 9: Veiculo[id=114, cor=Azul, tipo=Sedan, estacao=2, funcionario=2, pos=33] (pos=4)
Log Garagem Cliente 1: Veiculo[id=117, cor=Azul, tipo=SUV, estacao=4, funcionario=3, pos=36] (pos=4)
Log Garagem Cliente 18: Veiculo[id=62, cor=Verde, tipo=Sedan, estacao=1, funcionario=2, pos=21] (pos=5)
Log Garagem Cliente 8: Veiculo[id=118, cor=Vermelho, tipo=Sedan, estacao=3, funcionario=3, pos=37] (pos=4)
Log Garagem Cliente 2: Veiculo[id=65, cor=Verde, tipo=SUV, estacao=2, funcionario=1, pos=24] (pos=5)
Log Garagem Cliente 4: Veiculo[id=93, cor=Azul, tipo=SUV, estacao=1, funcionario=4, pos=12] (pos=4)
Log Garagem Cliente 15: Veiculo[id=121, cor=Vermelho, tipo=SUV, estacao=1, funcionario=1, pos=0] (pos=5)
Log Garagem Cliente 16: Veiculo[id=96, cor=Azul, tipo=Sedan, estacao=2, funcionario=3, pos=15] (pos=5)
Log Garagem Cliente 13: Veiculo[id=99, cor=Azul, tipo=SUV, estacao=1, funcionario=5, pos=18] (pos=4)
Log Garagem Cliente 7: Veiculo[id=124, cor=Vermelho, tipo=Sedan, estacao=4, funcionario=1, pos=3] (pos=4)
Log Garagem Cliente 3: Veiculo[id=68, cor=Verde, tipo=Sedan, estacao=3, funcionario=4, pos=27] (pos=5)
Log Garagem Cliente 17: Veiculo[id=103, cor=Vermelho, tipo=SUV, estacao=4, funcionario=4, pos=22] (pos=4)
Log Garagem Cliente 5: Veiculo[id=73, cor=Vermelho, tipo=SUV, estacao=1, funcionario=4, pos=32] (pos=5)
Log Garagem Cliente 10: Veiculo[id=127, cor=Vermelho, tipo=SUV, estacao=3, funcionario=1, pos=6] (pos=5)
Log Garagem Cliente 14: Veiculo[id=106, cor=Vermelho, tipo=Sedan, estacao=2, funcionario=4, pos=25] (pos=5)
Log Garagem Cliente 20: Veiculo[id=130, cor=Vermelho, tipo=Sedan, estacao=2, funcionario=5, pos=9] (pos=4)
Log Garagem Cliente 12: Veiculo[id=78, cor=Azul, tipo=Sedan, estacao=1, funcionario=3, pos=37] (pos=4)
Log Garagem Cliente 6: Veiculo[id=133, cor=Vermelho, tipo=SUV, estacao=1, funcionario=4, pos=12] (pos=4)
Log Garagem Cliente 11: Veiculo[id=81, cor=Azul, tipo=SUV, estacao=1, funcionario=1, pos=0] (pos=5)
Log Garagem Cliente 19: Veiculo[id=84, cor=Azul, tipo=Sedan, estacao=4, funcionario=1, pos=3] (pos=5)
Log Garagem Cliente 9: Veiculo[id=109, cor=Vermelho, tipo=SUV, estacao=4, funcionario=2, pos=28] (pos=5)
Log Garagem Cliente 1: Veiculo[id=112, cor=Vermelho, tipo=Sedan, estacao=3, funcionario=2, pos=31] (pos=5)
Log Garagem Cliente 8: Veiculo[id=94, cor=Vermelho, tipo=Sedan, estacao=2, funcionario=2, pos=13] (pos=5)
Log Garagem Cliente 18: Veiculo[id=87, cor=Azul, tipo=SUV, estacao=3, funcionario=1, pos=6] (pos=6)
Log Garagem Cliente 2: Veiculo[id=97, cor=Vermelho, tipo=SUV, estacao=4, funcionario=3, pos=16] (pos=6)
Log Garagem Cliente 4: Veiculo[id=98, cor=Verde, tipo=Sedan, estacao=1, funcionario=3, pos=17] (pos=5)
Log Garagem Cliente 15: Veiculo[id=115, cor=Vermelho, tipo=SUV, estacao=3, funcionario=5, pos=34] (pos=6)
Log Garagem Cliente 16: Veiculo[id=137, cor=Verde, tipo=SUV, estacao=2, funcionario=3, pos=16] (pos=6)
Log Garagem Cliente 13: Veiculo[id=116, cor=Verde, tipo=Sedan, estacao=2, funcionario=3, pos=35] (pos=5)
Log Garagem Cliente 7: Veiculo[id=139, cor=Vermelho, tipo=SUV, estacao=1, funcionario=3, pos=18] (pos=5)
Log Garagem Cliente 3: Veiculo[id=142, cor=Vermelho, tipo=Sedan, estacao=1, funcionario=2, pos=21] (pos=6)
Log Garagem Cliente 17: Veiculo[id=119, cor=Verde, tipo=SUV, estacao=1, funcionario=3, pos=38] (pos=5)
Log Garagem Cliente 5: Veiculo[id=145, cor=Vermelho, tipo=SUV, estacao=2, funcionario=1, pos=24] (pos=6)
Log Garagem Cliente 14: Veiculo[id=102, cor=Azul, tipo=Sedan, estacao=1, funcionario=2, pos=21] (pos=6)
Log Garagem Cliente 10: Veiculo[id=148, cor=Vermelho, tipo=Sedan, estacao=4, funcionario=5, pos=27] (pos=6)
Log Garagem Cliente 20: Veiculo[id=151, cor=Vermelho, tipo=SUV, estacao=3, funcionario=4, pos=30] (pos=5)
Log Garagem Cliente 12: Veiculo[id=154, cor=Vermelho, tipo=Sedan, estacao=2, funcionario=2, pos=33] (pos=5)
Log Garagem Cliente 9: Veiculo[id=123, cor=Azul, tipo=SUV, estacao=4, funcionario=4, pos=2] (pos=6)
Log Garagem Cliente 6: Veiculo[id=157, cor=Vermelho, tipo=SUV, estacao=2, funcionario=3, pos=36] (pos=5)
Log Garagem Cliente 18: Veiculo[id=126, cor=Azul, tipo=Sedan, estacao=2, funcionario=4, pos=5] (pos=7)
Log Garagem Cliente 11: Veiculo[id=160, cor=Vermelho, tipo=Sedan, estacao=1, funcionario=5, pos=39] (pos=6)
Log Garagem Cliente 2: Veiculo[id=129, cor=Azul, tipo=SUV, estacao=4, funcionario=2, pos=8] (pos=7)
Log Garagem Cliente 4: Veiculo[id=134, cor=Verde, tipo=Sedan, estacao=2, funcionario=2, pos=13] (pos=6)
Log Garagem Cliente 16: Veiculo[id=136, cor=Vermelho, tipo=Sedan, estacao=4, funcionario=3, pos=15] (pos=7)
Log Garagem Cliente 19: Veiculo[id=163, cor=Vermelho, tipo=SUV, estacao=4, funcionario=4, pos=2] (pos=6)
Log Garagem Cliente 7: Veiculo[id=140, cor=Verde, tipo=Sedan, estacao=1, funcionario=5, pos=19] (pos=6)
Log Garagem Cliente 3: Veiculo[id=143, cor=Verde, tipo=SUV, estacao=4, funcionario=4, pos=22] (pos=7)
Log Garagem Cliente 1: Veiculo[id=166, cor=Vermelho, tipo=Sedan, estacao=2, funcionario=4, pos=5] (pos=6)
Log Garagem Cliente 17: Veiculo[id=105, cor=Azul, tipo=SUV, estacao=2, funcionario=1, pos=24] (pos=6)
Log Garagem Cliente 5: Veiculo[id=108, cor=Azul, tipo=Sedan, estacao=4, funcionario=5, pos=27] (pos=7)
Log Garagem Cliente 10: Veiculo[id=146, cor=Verde, tipo=Sedan, estacao=2, funcionario=4, pos=25] (pos=7)
Log Garagem Cliente 8: Veiculo[id=169, cor=Vermelho, tipo=SUV, estacao=2, funcionario=5, pos=8] (pos=6)
Log Garagem Cliente 15: Veiculo[id=170, cor=Verde, tipo=Sedan, estacao=4, funcionario=2, pos=9] (pos=7)
Log Garagem Cliente 20: Veiculo[id=149, cor=Verde, tipo=SUV, estacao=4, funcionario=2, pos=28] (pos=6)
Log Garagem Cliente 13: Veiculo[id=173, cor=Verde, tipo=SUV, estacao=1, funcionario=4, pos=12] (pos=6)
Log Garagem Cliente 9: Veiculo[id=111, cor=Azul, tipo=SUV, estacao=3, funcionario=4, pos=30] (pos=7)
Log Garagem Cliente 12: Veiculo[id=152, cor=Verde, tipo=Sedan, estacao=3, funcionario=2, pos=31] (pos=6)
Log Garagem Cliente 14: Veiculo[id=178, cor=Vermelho, tipo=Sedan, estacao=3, funcionario=3, pos=17] (pos=7)
Log Garagem Cliente 18: Veiculo[id=155, cor=Verde, tipo=SUV, estacao=3, funcionario=5, pos=34] (pos=8)
Log Garagem Cliente 2: Veiculo[id=113, cor=Verde, tipo=SUV, estacao=1, funcionario=4, pos=32] (pos=8)
Log Garagem Cliente 6: Veiculo[id=181, cor=Vermelho, tipo=SUV, estacao=1, funcionario=1, pos=20] (pos=6)
Log Garagem Cliente 16: Veiculo[id=158, cor=Verde, tipo=Sedan, estacao=3, funcionario=3, pos=37] (pos=8)
Log Garagem Cliente 19: Veiculo[id=161, cor=Verde, tipo=SUV, estacao=1, funcionario=1, pos=0] (pos=7)
Log Garagem Cliente 11: Veiculo[id=184, cor=Vermelho, tipo=Sedan, estacao=4, funcionario=1, pos=23] (pos=7)
Log Garagem Cliente 7: Veiculo[id=164, cor=Verde, tipo=Sedan, estacao=4, funcionario=1, pos=3] (pos=7)
Log Garagem Cliente 3: Veiculo[id=120, cor=Azul, tipo=Sedan, estacao=1, funcionario=5, pos=39] (pos=8)
Log Garagem Cliente 1: Veiculo[id=122, cor=Verde, tipo=Sedan, estacao=1, funcionario=2, pos=1] (pos=7)
Log Garagem Cliente 17: Veiculo[id=125, cor=Verde, tipo=SUV, estacao=2, funcionario=1, pos=4] (pos=7)
Log Garagem Cliente 5: Veiculo[id=128, cor=Verde, tipo=Sedan, estacao=4, funcionario=5, pos=7] (pos=8)
Log Garagem Cliente 4: Veiculo[id=187, cor=Vermelho, tipo=SUV, estacao=3, funcionario=1, pos=26] (pos=7)
Log Garagem Cliente 10: Veiculo[id=167, cor=Verde, tipo=SUV, estacao=3, funcionario=1, pos=6] (pos=8)
Log Garagem Cliente 8: Veiculo[id=172, cor=Vermelho, tipo=Sedan, estacao=3, funcionario=2, pos=11] (pos=7)
Log Garagem Cliente 15: Veiculo[id=131, cor=Verde, tipo=SUV, estacao=3, funcionario=4, pos=10] (pos=8)
Log Garagem Cliente 20: Veiculo[id=175, cor=Vermelho, tipo=SUV, estacao=3, funcionario=5, pos=14] (pos=7)
Log Garagem Cliente 13: Veiculo[id=190, cor=Vermelho, tipo=Sedan, estacao=2, funcionario=5, pos=29] (pos=7)
Log Garagem Cliente 9: Veiculo[id=193, cor=Vermelho, tipo=SUV, estacao=1, funcionario=4, pos=32] (pos=8)
Log Garagem Cliente 12: Veiculo[id=177, cor=Azul, tipo=SUV, estacao=2, funcionario=3, pos=16] (pos=7)
Log Garagem Cliente 14: Veiculo[id=180, cor=Azul, tipo=Sedan, estacao=1, funcionario=5, pos=19] (pos=8)
Log Garagem Cliente 18: Veiculo[id=132, cor=Azul, tipo=Sedan, estacao=3, funcionario=2, pos=11] (pos=9)
Log Garagem Cliente 2: Veiculo[id=183, cor=Azul, tipo=SUV, estacao=4, funcionario=4, pos=22] (pos=9)
Log Garagem Cliente 6: Veiculo[id=135, cor=Azul, tipo=SUV, estacao=3, funcionario=5, pos=14] (pos=7)
Log Garagem Cliente 16: Veiculo[id=197, cor=Verde, tipo=SUV, estacao=2, funcionario=3, pos=36] (pos=9)
Log Garagem Cliente 19: Veiculo[id=138, cor=Azul, tipo=Sedan, estacao=3, funcionario=3, pos=17] (pos=8)
Log Garagem Cliente 11: Veiculo[id=200, cor=Verde, tipo=Sedan, estacao=1, funcionario=5, pos=39] (pos=8)
Log Garagem Cliente 7: Veiculo[id=203, cor=Verde, tipo=SUV, estacao=4, funcionario=4, pos=2] (pos=8)
Log Garagem Cliente 3: Veiculo[id=206, cor=Verde, tipo=Sedan, estacao=2, funcionario=4, pos=5] (pos=9)
Log Garagem Cliente 1: Veiculo[id=141, cor=Azul, tipo=SUV, estacao=1, funcionario=1, pos=20] (pos=8)
Log Garagem Cliente 17: Veiculo[id=144, cor=Azul, tipo=Sedan, estacao=4, funcionario=1, pos=23] (pos=8)
Log Garagem Cliente 5: Veiculo[id=188, cor=Verde, tipo=Sedan, estacao=4, funcionario=5, pos=27] (pos=9)
Log Garagem Cliente 4: Veiculo[id=191, cor=Verde, tipo=SUV, estacao=3, funcionario=4, pos=30] (pos=8)
Log Garagem Cliente 10: Veiculo[id=209, cor=Verde, tipo=SUV, estacao=4, funcionario=2, pos=8] (pos=9)
Log Garagem Cliente 8: Veiculo[id=194, cor=Verde, tipo=Sedan, estacao=3, funcionario=5, pos=33] (pos=8)
Log Garagem Cliente 15: Veiculo[id=212, cor=Verde, tipo=Sedan, estacao=3, funcionario=2, pos=11] (pos=9)
Log Garagem Cliente 20: Veiculo[id=196, cor=Vermelho, tipo=Sedan, estacao=4, funcionario=3, pos=35] (pos=8)
Log Garagem Cliente 9: Veiculo[id=147, cor=Azul, tipo=SUV, estacao=3, funcionario=1, pos=26] (pos=9)
Log Garagem Cliente 13: Veiculo[id=215, cor=Verde, tipo=SUV, estacao=4, funcionario=3, pos=14] (pos=8)
Log Garagem Cliente 12: Veiculo[id=218, cor=Verde, tipo=Sedan, estacao=3, funcionario=3, pos=17] (pos=8)
Log Garagem Cliente 18: Veiculo[id=198, cor=Azul, tipo=Sedan, estacao=3, funcionario=3, pos=37] (pos=10)
Log Garagem Cliente 2: Veiculo[id=150, cor=Azul, tipo=Sedan, estacao=2, funcionario=5, pos=29] (pos=10)
Log Garagem Cliente 14: Veiculo[id=221, cor=Verde, tipo=SUV, estacao=1, funcionario=1, pos=20] (pos=9)
Log Garagem Cliente 16: Veiculo[id=201, cor=Azul, tipo=SUV, estacao=1, funcionario=1, pos=0] (pos=10)
Log Garagem Cliente 19: Veiculo[id=204, cor=Azul, tipo=Sedan, estacao=4, funcionario=1, pos=3] (pos=9)
Log Garagem Cliente 6: Veiculo[id=224, cor=Verde, tipo=Sedan, estacao=4, funcionario=1, pos=23] (pos=8)
Log Garagem Cliente 7: Veiculo[id=153, cor=Azul, tipo=SUV, estacao=1, funcionario=4, pos=32] (pos=9)
Log Garagem Cliente 1: Veiculo[id=207, cor=Azul, tipo=SUV, estacao=3, funcionario=1, pos=6] (pos=9)
Log Garagem Cliente 17: Veiculo[id=156, cor=Azul, tipo=Sedan, estacao=4, funcionario=3, pos=35] (pos=9)
Log Garagem Cliente 5: Veiculo[id=159, cor=Azul, tipo=SUV, estacao=1, funcionario=3, pos=38] (pos=10)
Log Garagem Cliente 11: Veiculo[id=227, cor=Verde, tipo=SUV, estacao=3, funcionario=1, pos=26] (pos=9)
Log Garagem Cliente 10: Veiculo[id=162, cor=Azul, tipo=Sedan, estacao=1, funcionario=2, pos=1] (pos=10)
Log Garagem Cliente 3: Veiculo[id=230, cor=Verde, tipo=Sedan, estacao=2, funcionario=5, pos=29] (pos=10)
Log Garagem Cliente 8: Veiculo[id=165, cor=Azul, tipo=SUV, estacao=2, funcionario=1, pos=4] (pos=9)
Log Garagem Cliente 15: Veiculo[id=210, cor=Azul, tipo=Sedan, estacao=2, funcionario=5, pos=9] (pos=10)
Log Garagem Cliente 20: Veiculo[id=168, cor=Azul, tipo=Sedan, estacao=4, funcionario=5, pos=7] (pos=9)
Log Garagem Cliente 9: Veiculo[id=213, cor=Azul, tipo=SUV, estacao=1, funcionario=4, pos=12] (pos=10)
Log Garagem Cliente 4: Veiculo[id=234, cor=Azul, tipo=Sedan, estacao=3, funcionario=5, pos=33] (pos=9)
Log Garagem Cliente 13: Veiculo[id=216, cor=Azul, tipo=Sedan, estacao=2, funcionario=2, pos=15] (pos=9)
Log Garagem Cliente 12: Veiculo[id=235, cor=Vermelho, tipo=SUV, estacao=4, funcionario=3, pos=34] (pos=9)
Log Garagem Cliente 18: Veiculo[id=237, cor=Azul, tipo=SUV, estacao=2, funcionario=3, pos=36] (pos=11)
Log Garagem Cliente 2: Veiculo[id=240, cor=Azul, tipo=Sedan, estacao=1, funcionario=5, pos=39] (pos=11)
Log Garagem Cliente 14: Veiculo[id=243, cor=Azul, tipo=SUV, estacao=4, funcionario=4, pos=2] (pos=10)
Log Garagem Cliente 16: Veiculo[id=246, cor=Azul, tipo=Sedan, estacao=2, funcionario=4, pos=5] (pos=11)
Log Garagem Cliente 1: Veiculo[id=171, cor=Azul, tipo=SUV, estacao=3, funcionario=4, pos=10] (pos=10)
Log Garagem Cliente 17: Veiculo[id=174, cor=Azul, tipo=Sedan, estacao=2, funcionario=2, pos=13] (pos=10)
Log Garagem Cliente 5: Veiculo[id=219, cor=Azul, tipo=SUV, estacao=1, funcionario=3, pos=18] (pos=11)
Log Garagem Cliente 11: Veiculo[id=222, cor=Azul, tipo=Sedan, estacao=1, funcionario=2, pos=21] (pos=10)
Log Garagem Cliente 19: Veiculo[id=249, cor=Azul, tipo=SUV, estacao=4, funcionario=2, pos=8] (pos=10)
Log Garagem Cliente 10: Veiculo[id=225, cor=Azul, tipo=SUV, estacao=2, funcionario=1, pos=24] (pos=11)
