Log Venda Loja: Veiculo[id=3, cor=Azul, tipo=SUV, estacao=2, funcionario=1, pos=2] -> Cliente 4 (Loja 3)
Log Recebimento Loja: Veiculo[id=16, cor=Vermelho, tipo=Sedan, estacao=1, funcionario=3, pos=15] -> Loja 2 (pos=8)
Log Recebimento Loja: Veiculo[id=17, cor=Verde, tipo=SUV, estacao=1, funcionario=5, pos=16] -> Loja 2 (pos=9)
Log Venda Loja: Veiculo[id=9, cor=Azul, tipo=SUV, estacao=1, funcionario=1, pos=8] -> Cliente 15 (Loja 2)
Log Venda Loja: Veiculo[id=8, cor=Verde, tipo=Sedan, estacao=4, funcionario=4, pos=7] -> Cliente 10 (Loja 2)
Log Venda Loja: Veiculo[id=7, cor=Vermelho, tipo=SUV, estacao=4, funcionario=1, pos=6] -> Cliente 9 (Loja 2)
Log Venda Loja: Veiculo[id=6, cor=Azul, tipo=Sedan, estacao=3, funcionario=4, pos=5] -> Cliente 6 (Loja 2)
Log Venda Loja: Veiculo[id=5, cor=Verde, tipo=SUV, estacao=3, funcionario=1, pos=4] -> Cliente 14 (Loja 3)
Log Recebimento Loja: Veiculo[id=5, cor=Verde, tipo=SUV, estacao=3, funcionario=1, pos=4] -> Loja 3 (pos=2)
Log Venda Loja: Veiculo[id=4, cor=Vermelho, tipo=Sedan, estacao=2, funcionario=4, pos=3] -> Cliente 8 (Loja 3)
Log Recebimento Loja: Veiculo[id=19, cor=Vermelho, tipo=SUV, estacao=3, funcionario=3, pos=18] -> Loja 3 (pos=3)
Log Venda Loja: Veiculo[id=19, cor=Vermelho, tipo=SUV, estacao=3, funcionario=3, pos=18] -> Cliente 18 (Loja 3)
Log Recebimento Loja: Veiculo[id=18, cor=Azul, tipo=Sedan, estacao=2, funcionario=3, pos=17] -> Loja 2 (pos=10)
Log Recebimento Loja: Veiculo[id=20, cor=Verde, tipo=Sedan, estacao=4, funcionario=3, pos=19] -> Loja 2 (pos=11)
Log Venda Loja: Veiculo[id=14, cor=Verde, tipo=Sedan, estacao=2, funcionario=5, pos=13] -> Cliente 20 (Loja 2)
Log Venda Loja: Veiculo[id=13, cor=Vermelho, tipo=SUV, estacao=3, funcionario=2, pos=12] -> Cliente 7 (Loja 1)
Log Recebimento Loja: Veiculo[id=13, cor=Vermelho, tipo=SUV, estacao=3, funcionario=2, pos=12] -> Loja 1 (pos=3)
Log Venda Loja: Veiculo[id=12, cor=Azul, tipo=Sedan, estacao=3, funcionario=5, pos=11] -> Cliente 5 (Loja 1)
Log Recebimento Loja: Veiculo[id=21, cor=Azul, tipo=SUV, estacao=1, funcionario=1, pos=20] -> Loja 2 (pos=12)
Log Recebimento Loja: Veiculo[id=22, cor=Vermelho, tipo=Sedan, estacao=1, funcionario=2, pos=21] -> Loja 1 (pos=4)
Log Venda Loja: Veiculo[id=22, cor=Vermelho, tipo=Sedan, estacao=1, funcionario=2, pos=21] -> Cliente 11 (Loja 1)
Log Recebimento Loja: Veiculo[id=24, cor=Azul, tipo=Sedan, estacao=4, funcionario=1, pos=23] -> Loja 2 (pos=13)
Log Venda Loja: Veiculo[id=23, cor=Verde, tipo=SUV, estacao=4, funcionario=4, pos=22] -> Cliente 19 (Loja 3)
Log Recebimento Loja: Veiculo[id=23, cor=Verde, tipo=SUV, estacao=4, funcionario=4, pos=22] -> Loja 3 (pos=4)
Log Recebimento Loja: Veiculo[id=27, cor=Azul, tipo=SUV, estacao=2, funcionario=4, pos=26] -> Loja 3 (pos=5)
Log Recebimento Loja: Veiculo[id=28, cor=Vermelho, tipo=Sedan, estacao=2, funcionario=1, pos=27] -> Loja 3 (pos=6)
Log Recebimento Loja: Veiculo[id=29, cor=Verde, tipo=SUV, estacao=1, funcionario=4, pos=28] -> Loja 3 (pos=7)
Log Recebimento Loja: Veiculo[id=26, cor=Verde, tipo=Sedan, estacao=3, funcionario=1, pos=25] -> Loja 2 (pos=14)
Log Venda Loja: Veiculo[id=25, cor=Vermelho, tipo=SUV, estacao=3, funcionario=4, pos=24] -> Cliente 12 (Loja 1)
Log Recebimento Loja: Veiculo[id=25, cor=Vermelho, tipo=SUV, estacao=3, funcionario=4, pos=24] -> Loja 1 (pos=5)
Log Venda Loja: Veiculo[id=32, cor=Verde, tipo=Sedan, estacao=3, funcionario=2, pos=31] -> Cliente 15 (Loja 1)
Log Venda Loja: Veiculo[id=28, cor=Vermelho, tipo=Sedan, estacao=2, funcionario=1, pos=27] -> Cliente 10 (Loja 3)
Log Venda Loja: Veiculo[id=29, cor=Verde, tipo=SUV, estacao=1, funcionario=4, pos=28] -> Cliente 9 (Loja 3)
Log Recebimento Loja: Veiculo[id=32, cor=Verde, tipo=Sedan, estacao=3, funcionario=2, pos=31] -> Loja 1 (pos=6)
Log Recebimento Loja: Veiculo[id=31, cor=Vermelho, tipo=SUV, estacao=2, funcionario=5, pos=30] -> Loja 2 (pos=15)
Log Recebimento Loja: Veiculo[id=30, cor=Azul, tipo=Sedan, estacao=2, funcionario=2, pos=29] -> Loja 3 (pos=8)
Log Venda Loja: Veiculo[id=27, cor=Azul, tipo=SUV, estacao=2, funcionario=4, pos=26] -> Cliente 3 (Loja 3)
Log Venda Loja: Veiculo[id=35, cor=Verde, tipo=SUV, estacao=3, funcionario=5, pos=34] -> Cliente 8 (Loja 3)
Log Recebimento Loja: Veiculo[id=35, cor=Verde, tipo=SUV, estacao=3, funcionario=5, pos=34] -> Loja 3 (pos=9)
Log Recebimento Loja: Veiculo[id=34, cor=Vermelho, tipo=Sedan, estacao=4, funcionario=5, pos=33] -> Loja 2 (pos=16)
Log Recebimento Loja: Veiculo[id=37, cor=Vermelho, tipo=SUV, estacao=1, funcionario=3, pos=36] -> Loja 2 (pos=17)
Log Recebimento Loja: Veiculo[id=38, cor=Verde, tipo=Sedan, estacao=1, funcionario=5, pos=37] -> Loja 2 (pos=18)
Log Venda Loja: Veiculo[id=33, cor=Azul, tipo=SUV, estacao=4, funcionario=2, pos=32] -> Cliente 17 (Loja 1)
Log Recebimento Loja: Veiculo[id=33, cor=Azul, tipo=SUV, estacao=4, funcionario=2, pos=32] -> Loja 1 (pos=7)
Log Recebimento Loja: Veiculo[id=39, cor=Azul, tipo=SUV, estacao=3, funcionario=3, pos=38] -> Loja 1 (pos=8)
Log Recebimento Loja: Veiculo[id=40, cor=Vermelho, tipo=Sedan, estacao=2, funcionario=3, pos=39] -> Loja 1 (pos=9)
Log Venda Loja: Veiculo[id=30, cor=Azul, tipo=Sedan, estacao=2, funcionario=2, pos=29] -> Cliente 14 (Loja 3)
Log Venda Loja: Veiculo[id=40, cor=Vermelho, tipo=Sedan, estacao=2, funcionario=3, pos=39] -> Cliente 2 (Loja 1)
Log Venda Loja: Veiculo[id=39, cor=Azul, tipo=SUV, estacao=3, funcionario=3, pos=38] -> Cliente 1 (Loja 1)
Log Venda Loja: Veiculo[id=36, cor=Azul, tipo=Sedan, estacao=4, funcionario=3, pos=35] -> Cliente 18 (Loja 3)
Log Recebimento Loja: Veiculo[id=36, cor=Azul, tipo=Sedan, estacao=4, funcionario=3, pos=35] -> Loja 3 (pos=10)
Log Venda Loja: Veiculo[id=41, cor=Verde, tipo=SUV, estacao=1, funcionario=1, pos=0] -> Cliente 16 (Loja 1)
Log Recebimento Loja: Veiculo[id=41, cor=Verde, tipo=SUV, estacao=1, funcionario=1, pos=0] -> Loja 1 (pos=10)
Log Recebimento Loja: Veiculo[id=42, cor=Azul, tipo=Sedan, estacao=1, funcionario=2, pos=1] -> Loja 2 (pos=19)
Log Venda Loja: Veiculo[id=43, cor=Vermelho, tipo=SUV, estacao=4, funcionario=4, pos=2] -> Cliente 20 (Loja 3)
Log Venda Loja: Veiculo[id=44, cor=Verde, tipo=Sedan, estacao=4, funcionario=1, pos=3] -> Cliente 13 (Loja 1)
Log Recebimento Loja: Veiculo[id=43, cor=Vermelho, tipo=SUV, estacao=4, funcionario=4, pos=2] -> Loja 3 (pos=11)
Log Recebimento Loja: Veiculo[id=44, cor=Verde, tipo=Sedan, estacao=4, funcionario=1, pos=3] -> Loja 1 (pos=11)
Log Venda Loja: Veiculo[id=46, cor=Vermelho, tipo=Sedan, estacao=2, funcionario=4, pos=5] -> Cliente 7 (Loja 3)
Log Recebimento Loja: Veiculo[id=46, cor=Vermelho, tipo=Sedan, estacao=2, funcionario=4, pos=5] -> Loja 3 (pos=12)
Log Recebimento Loja: Veiculo[id=47, cor=Verde, tipo=SUV, estacao=3, funcionario=1, pos=6] -> Loja 3 (pos=13)
Log Venda Loja: Veiculo[id=47, cor=Verde, tipo=SUV, estacao=3, funcionario=1, pos=6] -> Cliente 5 (Loja 3)
Log Recebimento Loja: Veiculo[id=45, cor=Azul, tipo=SUV, estacao=2, funcionario=1, pos=4] -> Loja 2 (pos=20)
Log Venda Loja: Veiculo[id=48, cor=Azul, tipo=Sedan, estacao=3, funcionario=4, pos=7] -> Cliente 15 (Loja 3)
Log Recebimento Loja: Veiculo[id=48, cor=Azul, tipo=Sedan, estacao=3, funcionario=4, pos=7] -> Loja 3 (pos=14)
Log Venda Loja: Veiculo[id=49, cor=Vermelho, tipo=SUV, estacao=4, funcionario=5, pos=8] -> Cliente 6 (Loja 1)
Log Recebimento Loja: Veiculo[id=49, cor=Vermelho, tipo=SUV, estacao=4, funcionario=5, pos=8] -> Loja 1 (pos=12)
Log Venda Loja: Veiculo[id=51, cor=Azul, tipo=SUV, estacao=3, funcionario=2, pos=10] -> Cliente 4 (Loja 1)
Log Recebimento Loja: Veiculo[id=51, cor=Azul, tipo=SUV, estacao=3, funcionario=2, pos=10] -> Loja 1 (pos=13)
Log Recebimento Loja: Veiculo[id=53, cor=Verde, tipo=SUV, estacao=4, funcionario=3, pos=12] -> Loja 1 (pos=14)
Log Recebimento Loja: Veiculo[id=54, cor=Azul, tipo=Sedan, estacao=2, funcionario=2, pos=13] -> Loja 1 (pos=15)
Log Venda Loja: Veiculo[id=53, cor=Verde, tipo=SUV, estacao=4, funcionario=3, pos=12] -> Cliente 11 (Loja 1)
Log Recebimento Loja: Veiculo[id=50, cor=Verde, tipo=Sedan, estacao=4, funcionario=2, pos=9] -> Loja 2 (pos=21)
Log Recebimento Loja: Veiculo[id=55, cor=Vermelho, tipo=SUV, estacao=1, funcionario=4, pos=14] -> Loja 1 (pos=16)
Log Venda Loja: Veiculo[id=55, cor=Vermelho, tipo=SUV, estacao=1, funcionario=4, pos=14] -> Cliente 12 (Loja 1)
Log Venda Loja: Veiculo[id=15, cor=Azul, tipo=SUV, estacao=2, funcionario=2, pos=14] -> Cliente 3 (Loja 2)
Log Venda Loja: Veiculo[id=54, cor=Azul, tipo=Sedan, estacao=2, funcionario=2, pos=13] -> Cliente 19 (Loja 1)
Log Venda Loja: Veiculo[id=52, cor=Vermelho, tipo=Sedan, estacao=2, funcionario=5, pos=11] -> Cliente 10 (Loja 3)
Log Recebimento Loja: Veiculo[id=52, cor=Vermelho, tipo=Sedan, estacao=2, funcionario=5, pos=11] -> Loja 3 (pos=15)
Log Recebimento Loja: Veiculo[id=56, cor=Verde, tipo=Sedan, estacao=3, funcionario=5, pos=15] -> Loja 2 (pos=22)
Log Venda Loja: Veiculo[id=57, cor=Azul, tipo=SUV, estacao=2, funcionario=3, pos=16] -> Cliente 14 (Loja 1)
Log Venda Loja: Veiculo[id=58, cor=Vermelho, tipo=Sedan, estacao=3, funcionario=3, pos=17] -> Cliente 9 (Loja 3)
Log Recebimento Loja: Veiculo[id=57, cor=Azul, tipo=SUV, estacao=2, funcionario=3, pos=16] -> Loja 1 (pos=17)
Log Venda Loja: Veiculo[id=16, cor=Vermelho, tipo=Sedan, estacao=1, funcionario=3, pos=15] -> Cliente 18 (Loja 2)
Log Recebimento Loja: Veiculo[id=60, cor=Azul, tipo=Sedan, estacao=1, funcionario=3, pos=19] -> Loja 1 (pos=18)
Log Recebimento Loja: Veiculo[id=59, cor=Verde, tipo=SUV, estacao=1, funcionario=5, pos=18] -> Loja 2 (pos=23)
Log Recebimento Loja: Veiculo[id=58, cor=Vermelho, tipo=Sedan, estacao=3, funcionario=3, pos=17] -> Loja 3 (pos=16)
Log Venda Loja: Veiculo[id=60, cor=Azul, tipo=Sedan, estacao=1, funcionario=3, pos=19] -> Cliente 2 (Loja 1)
Log Venda Loja: Veiculo[id=17, cor=Verde, tipo=SUV, estacao=1, funcionario=5, pos=16] -> Cliente 16 (Loja 2)
Log Venda Loja: Veiculo[id=61, cor=Vermelho, tipo=SUV, estacao=1, funcionario=1, pos=20] -> Cliente 1 (Loja 1)
Log Recebimento Loja: Veiculo[id=61, cor=Vermelho, tipo=SUV, estacao=1, funcionario=1, pos=20] -> Loja 1 (pos=19)
Log Recebimento Loja: Veiculo[id=62, cor=Verde, tipo=Sedan, estacao=1, funcionario=2, pos=21] -> Loja 2 (pos=24)
Log Venda Loja: Veiculo[id=63, cor=Azul, tipo=SUV, estacao=4, funcionario=4, pos=22] -> Cliente 8 (Loja 3)
Log Recebimento Loja: Veiculo[id=63, cor=Azul, tipo=SUV, estacao=4, funcionario=4, pos=22] -> Loja 3 (pos=17)
Log Venda Loja: Veiculo[id=18, cor=Azul, tipo=Sedan, estacao=2, funcionario=3, pos=17] -> Cliente 13 (Loja 2)
Log Recebimento Loja: Veiculo[id=64, cor=Vermelho, tipo=Sedan, estacao=4, funcionario=1, pos=23] -> Loja 1 (pos=20)
Log Recebimento Loja: Veiculo[id=65, cor=Verde, tipo=SUV, estacao=2, funcionario=1, pos=24] -> Loja 2 (pos=25)
Log Venda Loja: Veiculo[id=64, cor=Vermelho, tipo=Sedan, estacao=4, funcionario=1, pos=23] -> Cliente 7 (Loja 1)
Log Venda Loja: Veiculo[id=66, cor=Azul, tipo=Sedan, estacao=2, funcionario=4, pos=25] -> Cliente 17 (Loja 3)
Log Recebimento Loja: Veiculo[id=66, cor=Azul, tipo=Sedan, estacao=2, funcionario=4, pos=25] -> Loja 3 (pos=18)
Log Venda Loja: Veiculo[id=67, cor=Vermelho, tipo=SUV, estacao=3, funcionario=1, pos=26] -> Cliente 5 (Loja 1)
Log Recebimento Loja: Veiculo[id=67, cor=Vermelho, tipo=SUV, estacao=3, funcionario=1, pos=26] -> Loja 1 (pos=21)
Log Recebimento Loja: Veiculo[id=69, cor=Azul, tipo=SUV, estacao=4, funcionario=5, pos=28] -> Loja 3 (pos=19)
Log Recebimento Loja: Veiculo[id=70, cor=Vermelho, tipo=Sedan, estacao=4, funcionario=2, pos=29] -> Loja 3 (pos=20)
Log Recebimento Loja: Veiculo[id=68, cor=Verde, tipo=Sedan, estacao=3, funcionario=4, pos=27] -> Loja 2 (pos=26)
Log Recebimento Loja: Veiculo[id=71, cor=Verde, tipo=SUV, estacao=2, funcionario=5, pos=30] -> Loja 3 (pos=21)
Log Venda Loja: Veiculo[id=70, cor=Vermelho, tipo=Sedan, estacao=4, funcionario=2, pos=29] -> Cliente 15 (Loja 3)
Log Venda Loja: Veiculo[id=69, cor=Azul, tipo=SUV, estacao=4, funcionario=5, pos=28] -> Cliente 20 (Loja 3)
Log Venda Loja: Veiculo[id=20, cor=Verde, tipo=Sedan, estacao=4, funcionario=3, pos=19] -> Cliente 6 (Loja 2)
Log Venda Loja: Veiculo[id=71, cor=Verde, tipo=SUV, estacao=2, funcionario=5, pos=30] -> Cliente 11 (Loja 3)
Log Venda Loja: Veiculo[id=72, cor=Azul, tipo=Sedan, estacao=3, funcionario=2, pos=31] -> Cliente 4 (Loja 1)
Log Recebimento Loja: Veiculo[id=72, cor=Azul, tipo=Sedan, estacao=3, funcionario=2, pos=31] -> Loja 1 (pos=22)
Log Venda Loja: Veiculo[id=74, cor=Verde, tipo=Sedan, estacao=2, funcionario=2, pos=33] -> Cliente 3 (Loja 3)
Log Recebimento Loja: Veiculo[id=75, cor=Azul, tipo=SUV, estacao=4, funcionario=3, pos=34] -> Loja 1 (pos=23)
Log Venda Loja: Veiculo[id=75, cor=Azul, tipo=SUV, estacao=4, funcionario=3, pos=34] -> Cliente 10 (Loja 1)
Log Recebimento Loja: Veiculo[id=74, cor=Verde, tipo=Sedan, estacao=2, funcionario=2, pos=33] -> Loja 3 (pos=22)
Log Venda Loja: Veiculo[id=21, cor=Azul, tipo=SUV, estacao=1, funcionario=1, pos=20] -> Cliente 19 (Loja 2)
Log Recebimento Loja: Veiculo[id=73, cor=Vermelho, tipo=SUV, estacao=1, funcionario=4, pos=32] -> Loja 2 (pos=27)
Log Recebimento Loja: Veiculo[id=76, cor=Vermelho, tipo=Sedan, estacao=3, funcionario=5, pos=35] -> Loja 1 (pos=24)
Log Venda Loja: Veiculo[id=24, cor=Azul, tipo=Sedan, estacao=4, funcionario=1, pos=23] -> Cliente 14 (Loja 2)
Log Venda Loja: Veiculo[id=77, cor=Verde, tipo=SUV, estacao=2, funcionario=3, pos=36] -> Cliente 12 (Loja 3)
Log Recebimento Loja: Veiculo[id=77, cor=Verde, tipo=SUV, estacao=2, funcionario=3, pos=36] -> Loja 3 (pos=23)
Log Recebimento Loja: Veiculo[id=78, cor=Azul, tipo=Sedan, estacao=1, funcionario=3, pos=37] -> Loja 2 (pos=28)
Log Venda Loja: Veiculo[id=26, cor=Verde, tipo=Sedan, estacao=3, funcionario=1, pos=25] -> Cliente 18 (Loja 2)
Log Recebimento Loja: Veiculo[id=79, cor=Vermelho, tipo=SUV, estacao=1, funcionario=5, pos=38] -> Loja 1 (pos=25)
Log Recebimento Loja: Veiculo[id=80, cor=Verde, tipo=Sedan, estacao=3, funcionario=3, pos=39] -> Loja 3 (pos=24)
Log Venda Loja: Veiculo[id=80, cor=Verde, tipo=Sedan, estacao=3, funcionario=3, pos=39] -> Cliente 9 (Loja 3)
Log Venda Loja: Veiculo[id=31, cor=Vermelho, tipo=SUV, estacao=2, funcionario=5, pos=30] -> Cliente 2 (Loja 2)
Log Recebimento Loja: Veiculo[id=81, cor=Azul, tipo=SUV, estacao=1, funcionario=1, pos=0] -> Loja 2 (pos=29)
Log Venda Loja: Veiculo[id=34, cor=Vermelho, tipo=Sedan, estacao=4, funcionario=5, pos=33] -> Cliente 16 (Loja 2)
Log Venda Loja: Veiculo[id=37, cor=Vermelho, tipo=SUV, estacao=1, funcionario=3, pos=36] -> Cliente 1 (Loja 2)
Log Recebimento Loja: Veiculo[id=82, cor=Vermelho, tipo=Sedan, estacao=1, funcionario=2, pos=1] -> Loja 1 (pos=26)
Log Recebimento Loja: Veiculo[id=83, cor=Verde, tipo=SUV, estacao=4, funcionario=4, pos=2] -> Loja 3 (pos=25)
Log Venda Loja: Veiculo[id=76, cor=Vermelho, tipo=Sedan, estacao=3, funcionario=5, pos=35] -> Cliente 8 (Loja 1)
Log Venda Loja: Veiculo[id=83, cor=Verde, tipo=SUV, estacao=4, funcionario=4, pos=2] -> Cliente 13 (Loja 3)
Log Recebimento Loja: Veiculo[id=84, cor=Azul, tipo=Sedan, estacao=4, funcionario=1, pos=3] -> Loja 2 (pos=30)
Log Recebimento Loja: Veiculo[id=85, cor=Vermelho, tipo=SUV, estacao=2, funcionario=1, pos=4] -> Loja 1 (pos=27)
Log Recebimento Loja: Veiculo[id=86, cor=Verde, tipo=Sedan, estacao=2, funcionario=4, pos=5] -> Loja 3 (pos=26)
Log Venda Loja: Veiculo[id=86, cor=Verde, tipo=Sedan, estacao=2, funcionario=4, pos=5] -> Cliente 17 (Loja 3)
Log Venda Loja: Veiculo[id=79, cor=Vermelho, tipo=SUV, estacao=1, funcionario=5, pos=38] -> Cliente 5 (Loja 1)
Log Recebimento Loja: Veiculo[id=88, cor=Vermelho, tipo=Sedan, estacao=4, funcionario=5, pos=7] -> Loja 1 (pos=28)
Log Recebimento Loja: Veiculo[id=87, cor=Azul, tipo=SUV, estacao=3, funcionario=1, pos=6] -> Loja 2 (pos=31)
Log Venda Loja: Veiculo[id=82, cor=Vermelho, tipo=Sedan, estacao=1, funcionario=2, pos=1] -> Cliente 15 (Loja 1)
Log Recebimento Loja: Veiculo[id=90, cor=Azul, tipo=Sedan, estacao=2, funcionario=5, pos=9] -> Loja 1 (pos=29)
Log Recebimento Loja: Veiculo[id=91, cor=Vermelho, tipo=SUV, estacao=3, funcionario=4, pos=10] -> Loja 1 (pos=30)
Log Recebimento Loja: Veiculo[id=92, cor=Verde, tipo=Sedan, estacao=3, funcionario=2, pos=11] -> Loja 1 (pos=31)
Log Venda Loja: Veiculo[id=89, cor=Verde, tipo=SUV, estacao=4, funcionario=2, pos=8] -> Cliente 7 (Loja 3)
Log Recebimento Loja: Veiculo[id=89, cor=Verde, tipo=SUV, estacao=4, funcionario=2, pos=8] -> Loja 3 (pos=27)
Log Venda Loja: Veiculo[id=38, cor=Verde, tipo=Sedan, estacao=1, funcionario=5, pos=37] -> Cliente 11 (Loja 2)
Log Recebimento Loja: Veiculo[id=93, cor=Azul, tipo=SUV, estacao=1, funcionario=4, pos=12] -> Loja 1 (pos=32)
Log Venda Loja: Veiculo[id=85, cor=Vermelho, tipo=SUV, estacao=2, funcionario=1, pos=4] -> Cliente 10 (Loja 1)
Log Venda Loja: Veiculo[id=42, cor=Azul, tipo=Sedan, estacao=1, funcionario=2, pos=1] -> Cliente 19 (Loja 2)
Log Recebimento Loja: Veiculo[id=94, cor=Vermelho, tipo=Sedan, estacao=2, funcionario=2, pos=13] -> Loja 2 (pos=32)
Log Recebimento Loja: Veiculo[id=97, cor=Vermelho, tipo=SUV, estacao=4, funcionario=3, pos=16] -> Loja 2 (pos=33)
Log Recebimento Loja: Veiculo[id=96, cor=Azul, tipo=Sedan, estacao=2, funcionario=3, pos=15] -> Loja 1 (pos=33)
Log Venda Loja: Veiculo[id=95, cor=Verde, tipo=SUV, estacao=3, funcionario=5, pos=14] -> Cliente 20 (Loja 3)
Log Recebimento Loja: Veiculo[id=95, cor=Verde, tipo=SUV, estacao=3, funcionario=5, pos=14] -> Loja 3 (pos=28)
Log Venda Loja: Veiculo[id=45, cor=Azul, tipo=SUV, estacao=2, funcionario=1, pos=4] -> Cliente 18 (Loja 2)
Log Recebimento Loja: Veiculo[id=100, cor=Vermelho, tipo=Sedan, estacao=3, funcionario=3, pos=19] -> Loja 3 (pos=29)
Log Recebimento Loja: Veiculo[id=98, cor=Verde, tipo=Sedan, estacao=1, funcionario=3, pos=17] -> Loja 2 (pos=34)
Log Venda Loja: Veiculo[id=100, cor=Vermelho, tipo=Sedan, estacao=3, funcionario=3, pos=19] -> Cliente 6 (Loja 3)
Log Recebimento Loja: Veiculo[id=99, cor=Azul, tipo=SUV, estacao=1, funcionario=5, pos=18] -> Loja 1 (pos=34)
Log Venda Loja: Veiculo[id=88, cor=Vermelho, tipo=Sedan, estacao=4, funcionario=5, pos=7] -> Cliente 2 (Loja 1)
Log Venda Loja: Veiculo[id=101, cor=Verde, tipo=SUV, estacao=1, funcionario=1, pos=20] -> Cliente 4 (Loja 3)
Log Venda Loja: Veiculo[id=50, cor=Verde, tipo=Sedan, estacao=4, funcionario=2, pos=9] -> Cliente 16 (Loja 2)
Log Recebimento Loja: Veiculo[id=101, cor=Verde, tipo=SUV, estacao=1, funcionario=1, pos=20] -> Loja 3 (pos=30)
Log Recebimento Loja: Veiculo[id=102, cor=Azul, tipo=Sedan, estacao=1, funcionario=2, pos=21] -> Loja 2 (pos=35)
Log Recebimento Loja: Veiculo[id=103, cor=Vermelho, tipo=SUV, estacao=4, funcionario=4, pos=22] -> Loja 1 (pos=35)
Log Venda Loja: Veiculo[id=56, cor=Verde, tipo=Sedan, estacao=3, funcionario=5, pos=15] -> Cliente 13 (Loja 2)
Log Venda Loja: Veiculo[id=104, cor=Verde, tipo=Sedan, estacao=4, funcionario=1, pos=23] -> Cliente 3 (Loja 3)
Log Recebimento Loja: Veiculo[id=104, cor=Verde, tipo=Sedan, estacao=4, funcionario=1, pos=23] -> Loja 3 (pos=31)
Log Recebimento Loja: Veiculo[id=105, cor=Azul, tipo=SUV, estacao=2, funcionario=1, pos=24] -> Loja 2 (pos=36)
Log Recebimento Loja: Veiculo[id=106, cor=Vermelho, tipo=Sedan, estacao=2, funcionario=4, pos=25] -> Loja 1 (pos=36)
Log Venda Loja: Veiculo[id=59, cor=Verde, tipo=SUV, estacao=1, funcionario=5, pos=18] -> Cliente 17 (Loja 2)
Log Venda Loja: Veiculo[id=90, cor=Azul, tipo=Sedan, estacao=2, funcionario=5, pos=9] -> Cliente 5 (Loja 1)
Log Venda Loja: Veiculo[id=107, cor=Verde, tipo=SUV, estacao=3, funcionario=1, pos=26] -> Cliente 14 (Loja 3)
Log Recebimento Loja: Veiculo[id=107, cor=Verde, tipo=SUV, estacao=3, funcionario=1, pos=26] -> Loja 3 (pos=32)
Log Recebimento Loja: Veiculo[id=108, cor=Azul, tipo=Sedan, estacao=4, funcionario=5, pos=27] -> Loja 2 (pos=37)
Log Recebimento Loja: Veiculo[id=109, cor=Vermelho, tipo=SUV, estacao=4, funcionario=2, pos=28] -> Loja 1 (pos=37)
Log Venda Loja: Veiculo[id=110, cor=Verde, tipo=Sedan, estacao=2, funcionario=5, pos=29] -> Cliente 12 (Loja 3)
Log Recebimento Loja: Veiculo[id=110, cor=Verde, tipo=Sedan, estacao=2, funcionario=5, pos=29] -> Loja 3 (pos=33)
